Tag,Count
 Singleplayer,14250
 Indie,13380
 Adventure,9484
 Action,8281
 Casual,7789
 2D,6938
 Atmospheric,5678
 Simulation,5267
 Story Rich,5055
 RPG,4916
 Multiplayer,4841
 Strategy,4686
Action,4236
 Puzzle,4223
 Anime,3609
 First-Person,3597
 Pixel Graphics,3556
 Cute,3505
 Funny,3371
 3D,3360
 Exploration,3352
 Fantasy,3333
 Great Soundtrack,3163
 Colorful,3151
 Female Protagonist,3019
 Horror,2801
 Shooter,2715
 Sci-fi,2659
 Difficult,2570
Adventure,2520
Indie,2500
 Open World,2484
 Retro,2478
 Family Friendly,2448
 Arcade,2383
 Co-op,2312
 Early Access,2306
 Violent,2272
 Free to Play,2272
 Platformer,2246
 Relaxing,2231
 Comedy,2137
 Third Person,2045
 Gore,2022
